Category,Currency,Price,Area(m2),Rooms,Municipality,Province,Date,DOP/USD rate
house,USD,"215,500",321,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"5,400,000",155,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"5,700,000",1,3,San Felipe De Puerto Plata,Puerto Plata,2020-11-25,58.15
house,DOP,"5,800,000",175,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"11,000,000",250,4,Concepción De La Vega,La Vega,2020-11-25,58.15
house,DOP,"5,400,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"8,500,000",312,6,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"115,000",160,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"6,000,000",1,3,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,USD,"180,000",1,4,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,USD,"450,000",585,5,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"10,500,000",225,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"6,500,000",180,3,Concepción De La Vega,La Vega,2020-11-25,58.15
house,DOP,"4,600,000",1,3,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,USD,"145,000",145,2,Jarabacoa,La Vega,2020-11-25,58.15
house,DOP,"13,162,500",200,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"5,500,000",175,2,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"315,000",410,5,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"7,000,000",172,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"365,000",270,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"23,000,000",700,8,Baní,Peravia,2020-11-25,58.15
house,DOP,"5,700,000",170,3,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"3,600,000",170,3,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"5,400,000",160,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"12,000,000",450,4,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,USD,"500,000",630,4,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,DOP,"6,700,000",220,4,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"7,300,000",170,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,USD,"215,300",250,3,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"15,500,000","1,000",6,Baní,Peravia,2020-11-25,58.15
house,USD,"620,000",476,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"5,000,000",150,3,Santo Domingo Este,Santo Domingo,2020-11-25,58.15
house,DOP,"2,500,000",360,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"65,000",100,2,,La Romana,2020-11-25,58.15
house,DOP,"15,500,000",325,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"10,500,000",354,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"125,000",1,3,San Cristóbal Sn,San Cristóbal,2020-11-25,58.15
house,DOP,"1,500,000",340,2,Santo Domingo Oeste,Santo Domingo,2020-11-25,58.15
house,DOP,"18,000,000",621,8,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"6,400,000",220,3,Casa De Campo 22000,La Romana,2020-11-25,58.15
house,USD,"2,700,000","2,035",6,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"480,000",350,4,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"490,000",275,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,USD,"475,000",428,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
house,USD,"465,000",773,3,Salvaleón De Higüey,La Altagracia,2020-11-25,58.15
house,DOP,"9,950,000",200,4,Santiago De Los Treinta Caballeros,Santiago,2020-11-25,58.15
house,DOP,"26,000,000",655,3,Santo Domingo De Guzmán,Distrito Nacional,2020-11-25,58.15
